record_ID,units_sold
212645,21.453669532599893
212646,24.71951488848575
212647,17.4365510122267
212648,24.35803171933689
212649,26.12591631017458
212653,23.546327914838134
212654,45.29360616815288
212657,19.153592537089658
212658,10.80698989565187
212661,141.4567627288712
212662,87.92506196564874
212663,59.192194357890514
212666,58.34232970386001
212667,79.66870827211704
212668,131.5110108935677
212671,50.09106760788815
212672,100.27340896349943
212673,68.98572929188153
212674,365.359879753803
212675,25.845979453888297
212676,23.05078942066579
212677,94.83690235997273
212678,59.61828383200471
212679,36.73218574885514
212681,31.365092494897517
212682,43.33741070994731
212683,28.17967221928615
212686,77.54233738562536
212687,104.50503611088234
212688,24.353904934383834
212689,6.124529302942861
212691,24.337116908084074
212692,44.76662626628685
212693,41.19073856030608
212694,41.90826670363573
212695,38.42148486033844
212696,38.60033386718534
212697,86.17463811245025
212698,40.842653786337245
212699,176.21059115034106
212700,26.393180663279786
212701,31.00402750448407
212702,43.70894183562421
212703,39.49021707437724
212704,25.83422602680549
212705,31.74891079846562
212706,28.529819132440526
212707,44.86546818785116
212709,12.75258432019403
212710,20.041098192007865
212711,46.820012423386615
212712,45.36348603742654
212713,36.3940030805789
212716,25.647107770414507
212717,33.08399220039102
212718,14.090342576441829
212719,17.619659592361003
212721,80.40386042418885
212722,31.265751830589913
212723,120.31584872136612
212724,16.404281990557248
212725,11.382643115725072
212727,32.1667860965753
212728,47.97341071843815
212729,29.978793944582236
212731,32.25944804158955
212732,51.278802540022696
212734,6.465795085089078
212735,8.951305178882446
212736,13.551163901316032
212737,252.97720883878003
212738,246.65031381356474
212739,68.14713995353766
212740,17.963610890524528
212742,85.4358835973231
212743,124.91575966421168
212744,223.17866350155467
212748,193.80429440333688
212749,100.74100651957357
212750,463.60871827223474
212751,43.22112386070748
212752,35.91824317587693
212754,121.06173816944701
212755,68.40678291323822
212756,70.14098739930958
212757,47.21654573958514
212758,57.53075920513676
212759,89.57342762967966
212760,15.234818681011152
212761,67.77406535671335
212763,12.13245162795382
212764,80.63545577566667
212765,76.39816682684447
212767,38.60285025043808
212768,43.5822614690537
212769,78.04668968911223
212772,34.80813980628912
212773,50.60423192284878
212774,30.450926320014574
212775,134.98234662597935
212776,15.824550554492744
212777,12.235616936395129
212778,47.78664399870663
212779,30.54349144757395
212782,35.54864493202968
212783,44.06721241910954
212787,158.24623553937192
212788,91.15698092334506
212789,72.98027475446564
212790,25.528844051880956
212792,72.40170882933161
212793,96.03560864985273
212794,126.70583928207134
212796,112.22692989807398
212797,165.0255548484182
212798,370.6139333191904
212799,33.079080765167845
212800,15.800984241783182
212802,90.77849601154858
212803,56.259992526447974
212805,39.25930698143472
212806,47.91389765650259
212807,57.98364650689658
212809,37.75405207735526
212812,51.95796870124218
212816,18.54714385024438
212817,39.64814691710431
212818,24.730917993141297
212819,23.298466494352283
212820,24.625304506155118
212821,41.42801044698176
212822,58.521287298745015
212823,30.454041946372367
212824,145.68415363527566
212825,15.8828050658753
212826,13.678296002975957
212828,37.10123642941354
212829,48.27973815509583
212830,31.73306664613683
212831,28.350808196205854
212832,31.51170695256697
212833,39.754095180426276
212834,30.480348365788515
212835,27.663943473946834
212837,5.61288696689523
212838,23.668773273509377
212839,22.268464334510934
212840,27.090742869218445
212843,43.59603900998244
212844,13.161312010745988
212845,111.34044119823864
212846,8.739523954239697
212849,41.75366356650151
212850,20.985011586331755
212853,36.42893285756548
212856,54.09924817987555
212857,31.64431884742922
212860,16.157427347379482
212861,56.81885995240836
212862,42.20883495668528
212863,12.9748754129335
212866,109.19775169190208
212867,58.57944460469396
212868,321.66449487365776
212869,37.83559945991167
212870,45.61191063005908
212872,62.24877584835662
212873,56.86943611953562
212874,29.093051553089694
212875,33.904267497076766
212876,38.86009631187454
212877,37.779871337277015
212879,25.47703008714301
212880,36.16355058637221
212881,37.02682024301217
212884,13.405132598777623
212885,35.65649144873183
212886,17.70229944837881
212888,21.391917750567693
212889,28.278922770226224
212890,22.49238535624971
212891,109.36490061367444
212892,14.716480728494028
212893,23.802372048525253
212896,37.76375628106989
212899,7.590595829688131
212900,14.405132598777623
212901,26.953715630812095
212902,16.410748342663602
212903,14.534707918842948
212905,33.77544780866613
212906,16.06360529398085
212907,68.47875599270677
212910,13.29728853453832
212911,21.60149468740585
212914,24.80447469194179
212915,83.68144559248451
212916,62.7593895162127
212917,40.50482996800612
212919,45.42603706592708
212920,52.037280917424994
212921,92.76294018322965
212924,69.28994651536232
212925,35.178705841768966
212926,240.20488960568957
212927,10.812937999440457
212929,59.48134946697534
212930,62.35372067033644
212931,12.853701827232195
212932,63.982859311852145
212933,40.58304541850772
212934,46.94087851696213
